ID_encrypt,_Birth_Date_,Gender,_Country_of_Citizenship_,_Country_of_Birth_,_Preferred_Zip_Postal_Code_,_Local_Zip_Postal_Code_,_Group_1__Name_,_Group_1__Number_,_Education_1__Degree_Major_,_Offering_Enrollment_Date_,_Group_Payor_,_New_or_Returning_,Session,_Completion_Date_,Quarter_2,Quarter
0x013D53BAF02AC3C6407F036416579CE7D8672742773730F3C959C490921D29B2D80480613373CA7921DBE7B27BF3C2733568DAD55DDE4A3D40050187911595C2DF,03 May 1996,M,Saudi Arabia,NULL,90024,NULL,Saudi Arabian Cultural Mission,G001009,NULL,16 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01481D49D74647C57EE16E066ADF7FA3CC0505B9F6E08AE50505A2CCD69F3567D213C80147DF4B1EE640D7773D70FED0CD6E01795E05C7D62CA247CC701C4821D9,18 May 1992,M,Saudi Arabia,NULL,14212,90024,Saudi Arabian Cultural Mission,G001009,NULL,16 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01EC49875A9CB23A49CA04E9D2F0BC766621124CD945BCDAFFB48BE3F14A46C03A81B0397C9E7898F76F81EC96B5196B380F2379E4DBF2ED797CC1433607AE8DF9,23 Nov 1996,M,Saudi Arabia,NULL,22338,90024,Saudi Arabian Cultural Mission,G001009,NULL,10 Oct 2016,Saudi Arabian Cultural Mission G001009,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0178A8A04FFD2C16397FD9C1E8336B23CBAD0CBBDFAE6BAA53D33188A2005F2398567B14D6D7B4ED33AF836A711B692DEAB5CAB941CC4E8EF5F912301F1263BE74,25 May 1998,F,Kuwait,NULL,22053,90024,Consulate General of the State of Kuwait,G001147,NULL,28 Sep 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x014CAB82DCBD897662E37DB5FAE00C9694AD4FF05AB00864DECA1912ED557B1AC87C4A17913393F4D29B13212B122A30127C8917D899FD0515CAB899E0B4638BBD,28 May 1997,M,Kuwait,Kuwait,19130,90025,Consulate General of the State of Kuwait,G001147,NULL,28 Sep 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0109E89119FB00063316D0EC532C76356B6374867805E821530D0ABE5C0E131AFFCA09900F5F12C7CD3917E668CEC203201A42E808CEDBB63507CED66261B0D30B,09 May 1991,F,NULL,NULL,NULL,NULL,Saudi Arabian Cultural Mission,G001009,NULL,15 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01309D6C22027815CFA14FD062FD48D3D6D434E611BD03C1224F02D3F5395E2C92A7491861B8A9F59D9A1AF2D7C217ED29A67018F68A391648FA445AFCE695921F,08 Jun 1995,M,Kuwait,NULL,NULL,90025,Consulate General of the State of Kuwait,G001147,NULL,01 Sep 2016,Consulate General of the State of Kuwait G001147,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x013CDDFECB46A28D94950BC22314D4F14F30B0506B0955C807E7A3E9E1CB318D195655B0D0CB75BA00D9055A9CE0797CB8457C5D8187373E5631C3E0BA27BF601F,01 Jul 1988,M,Kuwait,Kuwait,44115,NULL,Consulate General of the State of Kuwait,G001147,NULL,08 Sep 2016,Consulate General of the State of Kuwait G001147,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x014D32288F9C98DDDF56DF329CBECDE22EC16006DEA1819FC9AFB6315E944788DDC9A441AF49BDD4AD54099FC02C490E1FEEBD5C1DF841BAEF912817B8FAC246B5,06 Mar 1998,M,Kuwait,NULL,NULL,91324,Consulate General of the State of Kuwait,G001147,NULL,29 Sep 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01F039B6D5EC37FB7E9D634C2A94E2E9A67FDB07D6FE2F11472AF1E60D6711ADCCC4546B30630BC252D1AAEB9370D0E2EE13D6FF20EA58565607DB1C6EFB2B8C7B,17 Apr 1985,F,Saudi Arabia,Saudi Arabia,11352,90066,NULL,NULL,Bachelor's degree,10 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
